year,set,pc,feature,loading,explained
2008,full11,1,log_rv20,0.3969149009507861,0.3400186869062855
2008,full11,1,log_rv5,0.3891547198351623,0.3400186869062855
2008,full11,1,log_act_rel,-0.0304304996047696,0.3400186869062855
2008,full11,1,dd20,-0.4085606656015252,0.3400186869062855
2008,full11,1,ret20,-0.3024824225829022,0.3400186869062855
2008,full11,1,one_minus_n,-0.2398479760784262,0.3400186869062855
2008,full11,1,n_sd,-0.1970584441248361,0.3400186869062855
2008,full11,1,ews_var,-0.0946005832994095,0.3400186869062855
2008,full11,1,ews_ar1,-0.0350006619362145,0.3400186869062855
2008,full11,1,log_vix,0.4626444608150766,0.3400186869062855
2008,full11,1,vrp,0.3333172975250651,0.3400186869062855
2008,full11,2,log_rv20,0.1457960108872207,0.2077076139079166
2008,full11,2,log_rv5,0.1609205848222476,0.2077076139079166
2008,full11,2,log_act_rel,0.3474218917985312,0.2077076139079166
2008,full11,2,dd20,-0.1973494869644245,0.2077076139079166
2008,full11,2,ret20,-0.1897528938070411,0.2077076139079166
2008,full11,2,one_minus_n,0.4653712467801491,0.2077076139079166
2008,full11,2,n_sd,0.5521270074915741,0.2077076139079166
2008,full11,2,ews_var,0.4738391041608509,0.2077076139079166
2008,full11,2,ews_ar1,0.0499233869968384,0.2077076139079166
2008,full11,2,log_vix,0.0782189066611108,0.2077076139079166
2008,full11,2,vrp,-0.0514243977498726,0.2077076139079166
2008,no_option9,1,log_rv20,-0.4192053899890359,0.3054692643312691
2008,no_option9,1,log_rv5,-0.4275647720669232,0.3054692643312691
2008,no_option9,1,log_act_rel,-0.0454399163503872,0.3054692643312691
2008,no_option9,1,dd20,0.4680929455601726,0.3054692643312691
2008,no_option9,1,ret20,0.3798809230032001,0.3054692643312691
2008,no_option9,1,one_minus_n,0.3758092102421628,0.3054692643312691
2008,no_option9,1,n_sd,0.3265198822742247,0.3054692643312691
2008,no_option9,1,ews_var,0.1595834637544791,0.3054692643312691
2008,no_option9,1,ews_ar1,0.0515288406770329,0.3054692643312691
2008,no_option9,2,log_rv20,0.1750219079557813,0.25141772846868
2008,no_option9,2,log_rv5,0.1998852709880785,0.25141772846868
2008,no_option9,2,log_act_rel,0.3659100021971003,0.25141772846868
2008,no_option9,2,dd20,-0.2706013529955171,0.25141772846868
2008,no_option9,2,ret20,-0.2622487572650546,0.25141772846868
2008,no_option9,2,one_minus_n,0.4252717096473361,0.25141772846868
2008,no_option9,2,n_sd,0.5145003604737645,0.25141772846868
2008,no_option9,2,ews_var,0.4553591448138808,0.25141772846868
2008,no_option9,2,ews_ar1,0.0245963172031457,0.25141772846868
2008,common7,1,log_rv20,-0.4577685399836362,0.3684005993294013
2008,common7,1,log_rv5,-0.4788756638704623,0.3684005993294013
2008,common7,1,log_act_rel,-0.2049845627799143,0.3684005993294013
2008,common7,1,dd20,0.5464771436711517,0.3684005993294013
2008,common7,1,ret20,0.4632066876778848,0.3684005993294013
2008,common7,1,ews_var,-0.0645713667664376,0.3684005993294013
2008,common7,1,ews_ar1,0.041716014972883,0.3684005993294013
