set,horizon,A,B,scheme,block,point,lo95,lo90,hi90,hi95,p_sign,n
common7,20,pc2_logistic,ou_seqcal,mbb,5.0,0.11317513880455127,0.04858930327386052,0.05975581273073796,0.1739354264817932,0.18758942566545933,0.0,2906
common7,20,pc2_logistic,ou_seqcal,mbb,10.0,0.11317513880455127,0.039295704968314894,0.05063343679882515,0.1799926447090733,0.20329868583490768,0.0,2906
common7,20,pc2_logistic,ou_seqcal,mbb,20.0,0.11317513880455127,0.0363799448024709,0.04809430102318889,0.19516626968685974,0.21210814120498042,0.0,2906
common7,20,pc2_logistic,ou_seqcal,mbb,40.0,0.11317513880455127,0.027217539835764686,0.037671727604616026,0.20107882747006153,0.2219634101312375,0.004,2906
common7,20,pc2_logistic,ou_seqcal,mbb,60.0,0.11317513880455127,0.031482549104155884,0.043848398158480996,0.21503153777489045,0.22589814402739167,0.004,2906
common7,20,pc2_logistic,ou_seqcal,stationary,10.0,0.11317513880455127,0.049033736658946135,0.05513480301149607,0.1798142816618574,0.19013100540615022,0.0,2906
common7,20,pc2_logistic,ou_seqcal,stationary,20.0,0.11317513880455127,0.035326558403570484,0.0430081276265231,0.18655236926321075,0.20712800100400286,0.0,2906
common7,20,pc2_logistic,ou_seqcal,stationary,40.0,0.11317513880455127,0.03474729485907931,0.0430354792849153,0.19722000271036694,0.215744014500108,0.004,2906
common7,20,pc2_logistic,ou_seqcal,episode_segments,,0.11317513880455127,0.031349925742793515,0.044970542485118996,0.19141291349215336,0.20590841108726135,0.008,2906
common7,20,pc2_gbt,ou_seqcal,mbb,5.0,0.09806665919876094,0.027584316397171925,0.04025591851063517,0.14608692905372656,0.15846779868527122,0.0,2906
common7,20,pc2_gbt,ou_seqcal,mbb,10.0,0.09806665919876094,0.006077075042948109,0.01970015515158238,0.1518865612423462,0.16382798996094297,0.044,2906
common7,20,pc2_gbt,ou_seqcal,mbb,20.0,0.09806665919876094,0.00273998117161511,0.01328984684822238,0.15942162336080742,0.17652450748338008,0.048,2906
common7,20,pc2_gbt,ou_seqcal,mbb,40.0,0.09806665919876094,-0.025394779445095456,-0.0012989485441910645,0.1695734065884428,0.1796045213456572,0.108,2906
common7,20,pc2_gbt,ou_seqcal,mbb,60.0,0.09806665919876094,-0.025769450991040967,-0.0026338217195295576,0.164054410062325,0.17474407474589623,0.104,2906
common7,20,pc2_gbt,ou_seqcal,stationary,10.0,0.09806665919876094,0.01845814084817339,0.030873310219448846,0.17077758992038003,0.1836598507771724,0.016,2906
common7,20,pc2_gbt,ou_seqcal,stationary,20.0,0.09806665919876094,0.006029069238261912,0.020892112654509718,0.1693150740708185,0.17894155106129855,0.04,2906
common7,20,pc2_gbt,ou_seqcal,stationary,40.0,0.09806665919876094,-0.0032056641249317824,0.009677428293467601,0.1650805220576167,0.1768438569678573,0.06,2906
