set,horizon,method,AUC,Brier,BSS,n,events
common7,5,clim,0.288000117275829,0.032791480800515235,0.0,2910,97
common7,5,ou_raw,0.9013343790428094,0.08292393068460412,-1.5288254345409489,2910,97
common7,5,ou_seqcal,0.6632461216516835,0.030275342826626757,0.07673145318429608,2910,97
common7,5,pc2_gbt,0.8418425498697139,0.026784758090315663,0.18317936743207985,2910,97
common7,5,pc2_logistic,0.8699374406749223,0.0290544320136864,0.11396401429880276,2910,97
common7,5,raw_gbt,0.8166502358343627,0.0298195180861368,0.09063215938487712,2910,97
common7,5,raw_logistic,0.8349269408233495,0.0291935709282756,0.1097208721413735,2910,97
common7,20,clim,0.26932147936595324,0.08584095150296371,0.0,2906,264
common7,20,ou_raw,0.7763316358130892,0.12328140074994505,-0.4361606970967544,2906,264
common7,20,ou_seqcal,0.5536424999426514,0.08539283119576012,0.0052203557784202825,2906,264
common7,20,pc2_gbt,0.6846605246255132,0.07697469585942159,0.10328701497718151,2906,264
common7,20,pc2_logistic,0.718147122244397,0.07567776959429744,0.11839549458297172,2906,264
common7,20,raw_gbt,0.6618508132039548,0.08228159613579901,0.04146453766931757,2906,264
common7,20,raw_logistic,0.6882426651067832,0.07741068656780183,0.09820796237179208,2906,264
full11,5,clim,0.288000117275829,0.032791480800515235,0.0,2910,97
full11,5,ou_raw,0.886836154672159,0.06905791523763158,-1.105971232520445,2910,97
full11,5,ou_seqcal,0.6316567776267038,0.030703568998156253,0.06367238536925657,2910,97
full11,5,pc2_gbt,0.7123608723855737,0.029012839460111826,0.11523240939896917,2910,97
full11,5,pc2_logistic,0.7824020288718432,0.03121763931462514,0.04799543806711426,2910,97
full11,5,raw_gbt,0.8032679642748507,0.029827983672189248,0.09037399519571021,2910,97
full11,5,raw_logistic,0.8375986308046954,0.03202230649143573,0.023456528656290998,2910,97
full11,20,clim,0.26932147936595324,0.08584095150296371,0.0,2906,264
full11,20,ou_raw,0.7818184685614663,0.10931025683756913,-0.27340453389306996,2906,264
full11,20,ou_seqcal,0.507763574427087,0.08743152540536638,-0.018529313510087908,2906,264
full11,20,pc2_gbt,0.5761052519899984,0.0786669816903059,0.08357281329075339,2906,264
full11,20,pc2_logistic,0.6540184203885945,0.0789745134836327,0.0799902365841546,2906,264
full11,20,raw_gbt,0.6291104649829101,0.0963198844185351,-0.12207382061939986,2906,264
full11,20,raw_logistic,0.615193379671048,0.08343441109821509,0.028034875692932393,2906,264
no_option9,5,clim,0.288000117275829,0.032791480800515235,0.0,2910,97
no_option9,5,ou_raw,0.9030147217814198,0.07167000950212714,-1.1856289424111957,2910,97
no_option9,5,ou_seqcal,0.7555312045327108,0.02996247784742587,0.08627249773498835,2910,97
no_option9,5,pc2_gbt,0.6350742685836378,0.02932797568854785,0.10562210145486828,2910,97
no_option9,5,pc2_logistic,0.8550617347294044,0.02907098635860994,0.11345917753878432,2910,97
no_option9,5,raw_gbt,0.8063721088759479,0.03005036992609612,0.0835921650228143,2910,97
no_option9,5,raw_logistic,0.8082283653581861,0.03003727087148119,0.08399163019776679,2910,97
no_option9,20,clim,0.26932147936595324,0.08584095150296371,0.0,2906,264
no_option9,20,ou_raw,0.7982029798362122,0.1085853460860726,-0.26495972126221856,2906,264
no_option9,20,ou_seqcal,0.6215899054894135,0.08334605462298461,0.029064180164556586,2906,264
no_option9,20,pc2_gbt,0.6251397873511803,0.07844140456035655,0.0862006631223291,2906,264
no_option9,20,pc2_logistic,0.6920405799096184,0.07669595805579932,0.10653415749764439,2906,264
no_option9,20,raw_gbt,0.5782307365861492,0.09716759368767573,-0.13194916862403328,2906,264
no_option9,20,raw_logistic,0.6706394948730301,0.08028058186871008,0.06477525629549497,2906,264
