market,year,n_train,n_local_maxima,ari_learned_vs_hmm,ari_learned_vs_rule,frac_A,frac_B,irr_median,irr_q90,flux_over_drift_median,q_sd_transition,q_sd_wells,n_post,n_subnet,hess_wmin,hess_wmax,tica_t1,tica_t2,msm_t2,msm_t3,msm_t4,msm_gap
SPX,2008,1260,4,0.021023952107111804,0.015576460160321074,0.26587301587301587,0.049206349206349205,7.000157316434368,9.513027411710294,0.9946229514602205,0.003994188465205706,0.00030092065626853006,20,85,4994.42381002438,4994423810.024381,459.9010171538567,179.74600330028667,642.6568217423495,185.08615297589895,73.75013307416997,0.019050446660833102
SPX,2009,1513,3,0.22309480046940625,0.12864729403103708,0.2604097818902842,0.07997356245869135,3.593519433522897,5.199210289231191,1.044486785860493,0.011459719144541336,0.0004575738012349675,20,85,1195.6450753031068,1195645075.3031068,568.4454896074433,212.87959381976407,502.72758950814676,362.8470307088378,160.71888822393493,0.00382682635978137
SPX,2010,1765,4,0.06598077331964629,0.10227798318561682,0.49971671388101985,0.10028328611898017,0.19829749434657085,0.6755025815806927,1.0300802947947147,0.0915845473327813,0.0064328000717380224,20,85,3.4922303111924244,3492230.3111924245,736.5944597534304,211.38668928485507,527.9941385336169,282.64102221886384,116.43860364354661,0.008186786301782848
SPX,2011,2017,3,0.05859287802954959,0.09816253967871603,0.495785820525533,0.10114030738720872,0.01761992675275713,0.06078163762583558,1.1158157724286777,0.16355117672429545,0.018502225229249616,20,85,17.848513692453274,17848513.692453276,800.8836272777199,184.49182227108756,400.0636532356379,192.65903009509506,81.00269701298312,0.0133644663884296
SPX,2012,2269,4,0.08663030647281908,0.10546915058819449,0.49316879682679593,0.09519612163948876,0.011291530818619937,0.03163067568245396,0.9461562728403452,0.1767767677678853,0.015686758961738323,20,85,19.611121552604178,19611121.55260418,920.8955393353389,176.25956888228723,375.66039559086215,145.96483686256906,92.13220131477449,0.020727109837897103
SPX,2013,2519,4,0.08560733329325423,0.09118699876318673,0.47757046447002777,0.10242159587137753,0.010910205305543824,0.031150840957424295,0.9175830959078823,0.17286214989277024,0.015034423932536126,20,85,19.33348702439275,19333487.02439275,913.0354561268424,166.21121061967307,400.21402867654353,148.86332852231624,89.7905824841818,0.020873606940905197
SPX,2014,2771,4,0.09083091498456314,0.08400118665352664,0.4980151569830386,0.10032479249368459,0.010691268697847417,0.032236113592310996,0.9262946517651948,0.14996579349800776,0.006324711263652362,20,85,22.6972554921128,22697255.4921128,966.4989356886258,154.0695772509757,423.854315727651,143.14215032609613,86.13397738832192,0.02286827120953747
SPX,2015,3023,3,0.07282032313606544,0.08011549746078238,0.5077737347006285,0.0757525636784651,0.008763009778753317,0.027286624487366015,0.9354493961007903,0.14670140631577228,0.02834699335585215,20,85,40.3741087350415,40374108.73504151,1153.9565997666496,224.7332064606134,464.41308027001105,271.1116432141002,132.1823388542957,0.007646921843236663
SPX,2016,3275,4,0.06452217310752584,0.07916892664312394,0.5056488549618321,0.07022900763358779,0.009135779931724257,0.03125098649130708,1.0162480782784309,0.16680380688227847,0.009644944867380146,20,85,51.240497998122436,51240497.99812244,1205.7846477220608,181.09945161170162,466.5488459240882,183.72612090793206,131.16675757451625,0.016362092188767656
SPX,2017,3527,3,0.06430282244095349,0.07462035527082787,0.5120499007655231,0.07513467536149702,0.01031773641089934,0.03141956183107107,1.0330789581256243,0.15659668237432875,0.011386138737776668,20,85,52.28628269554739,52286282.695547394,1173.6245587588808,179.66907474240566,418.8759437736953,190.16455781534086,129.14052543611243,0.0142537484283607
SPX,2018,3778,3,0.059398555543615526,0.0713555084152408,0.4907358390682901,0.07411328745367919,0.00979806124359819,0.0266889753591919,0.9579788405593768,0.1527581228396312,0.019645463991529676,20,85,54.00576180180755,54005761.80180755,1164.9863821058034,185.09025680742326,439.85280594167335,201.9814914155348,117.03373269828813,0.013298092892200799
SPX,2019,4029,3,0.05514145044934795,0.06632504940161674,0.49019607843137253,0.08091337800943162,0.010407583881759268,0.03094196368549473,0.9996587997605971,0.12953855679765447,0.011417520014085069,20,85,54.06597352053941,54065973.52053941,1143.4260824674127,185.13241287338693,498.91327288802034,252.91488758256062,118.38140856466853,0.009700359697501848
SPX,2020,4281,3,0.06479518664401876,0.06162475001943674,0.4966129409016585,0.08736276570894651,0.009974825429333471,0.026697580139213833,0.9230488099396718,0.1512341257736249,0.014552337690902467,20,85,54.595586939596984,54595586.93959699,1123.0005436264264,187.03310910518965,397.01773500757537,210.1757822007297,136.36671046698115,0.011133275905844684
