market,year,n_train,n_local_maxima,ari_learned_vs_hmm,ari_learned_vs_rule,frac_A,frac_B,irr_median,irr_q90,flux_over_drift_median,q_sd_transition,q_sd_wells,n_post,n_subnet,hess_wmin,hess_wmax,tica_t1,tica_t2,msm_t2,msm_t3,msm_t4,msm_gap
ETH,2020,651,4,0.045324525433708976,0.0,0.5038402457757296,0.06144393241167435,0.08154938443583712,0.16966038817635806,0.716976757606141,0.049311191782977104,0.0016038964224452971,20,85,0.7029251085563256,328822.8830245561,2175.9547263995737,290.6202617500569,1403.7566078811456,474.0436089137724,186.96959572900647,0.00696133862039187
ETH,2021,1017,3,0.06851076902836234,0.046668481056893474,0.48475909537856443,0.0727630285152409,0.044397062628768,0.08502659324271987,0.8177605510533863,0.054800377438368436,0.00834143197027526,20,85,1.1131394395337575,1113139.4395337575,2463.790386702223,202.45624182707996,1457.7261929830163,433.7025609920826,92.79215821632938,0.008065933353501017
ETH,2022,1382,3,0.04876126906045292,0.06970537717840553,0.4725036179450072,0.09913169319826338,0.01805508774465913,0.04752108272394797,0.7024324343898933,0.1269857998383736,0.007731676627688658,20,85,5.068053814021701,5068053.814021701,1638.3857913303596,264.38256687457954,1031.9096336003213,337.07049687728164,90.27180873607861,0.009938589209244458
ETH,2023,1747,3,0.028939885677738673,0.08236281851293421,0.5031482541499713,0.09730967372638809,0.015102534168595253,0.03884795628239754,0.5727680820257528,0.1396931272754225,0.014846840737076771,20,85,5.72152704673123,5721527.04673123,1855.4761232549624,233.9214723824697,777.5241392705574,314.10197512444074,83.37648059888507,0.009442862191430037
ETH,2024,2112,2,0.013199915627312986,0.08536159152589877,0.4952651515151515,0.08522727272727272,0.01659998056508948,0.03969534145805529,0.7753775929251541,0.14960755915891802,0.024450173878075444,20,85,5.17358042846482,5173580.428464821,1218.816909809137,343.22836610713813,901.6294792222843,254.1795743759165,114.31974028416715,0.014026318513512973
ETH,2025,2478,2,0.041168039989499694,0.08225082598874198,0.49878934624697335,0.08716707021791767,0.012295039703121522,0.03135763484662288,0.6581804777008649,0.14394296653307104,0.014093998153193827,20,85,5.925392676123989,5925392.67612399,1028.7132926798147,450.87070859208353,582.8638643765734,251.86424350449272,72.80197293563727,0.011210322712939232
ETH,2026,2843,2,0.029560966599327592,0.07637540310266572,0.49876890608512137,0.09321139641224059,0.014303521070281988,0.028900821891779113,0.6215989623995546,0.14933608765660417,0.018073138817129623,20,85,5.482560510645753,5482560.510645753,845.6389433826023,570.1459774707622,329.53348940204813,138.37789691211503,77.11230762380762,0.02074183996326667
