date,close,high,low,volume,activity,vix,ann,r,rv20,rv5,log_rv20,log_rv5,log_rv20_pk,log_act,log_act_rel,dd20,ret20,ews_var,ews_ar1,log_vix,vrp,n_t,n_sd,one_minus_n,n_lo,n_hi,hawkes_beta,is_event_day
2000-01-03,1455.219971,1478.0,1438.359985,931800000,931800000.0,24.21,252.0,,,,,,,,,,,,,3.1867657709499673,,,,,,,,0
2000-01-04,1399.420044,1455.219971,1397.430054,1009000000,1009000000.0,27.01,252.0,-0.03909917550586606,,,,,,,,,,,,3.2962071678045244,,,,,,,,0
2000-01-05,1402.109985,1413.27002,1377.680054,1085500000,1085500000.0,26.41,252.0,0.0019203376717689125,,,,,,,,,,,,3.273742726309041,,,,,,,,0
2000-01-06,1403.449951,1411.900024,1392.099976,1092300000,1092300000.0,25.73,252.0,0.0009552218683284153,,,,,,,,,,,,3.2476576262936527,,,,,,,,0
2000-01-07,1441.469971,1441.469971,1400.72998,1225200000,1225200000.0,21.72,252.0,0.026729950058290264,,,,,,,,,,,,3.0782334950657346,,,,,,,,0
2000-01-10,1457.599976,1464.359985,1441.469971,1064800000,1064800000.0,21.71,252.0,0.011127824951257637,,0.34573383579042005,,-1.0620860606785982,,,,,,,,3.0777729838902004,,,,,,,,0
2000-01-11,1438.560059,1458.660034,1434.420044,1014000000,1014000000.0,22.5,252.0,-0.013148576790573685,,0.22626647641191483,,-1.486041875133569,,,,,,,,3.1135153092103742,,,,,,,,0
2000-01-12,1432.25,1442.599976,1427.079956,974600000,974600000.0,22.84,252.0,-0.004396019961010467,,0.22800139912279616,,-1.4784035135430327,,,,,,,,3.1285133847878095,,,,,,,,0
2000-01-13,1449.680054,1454.199951,1432.25,1030400000,1030400000.0,21.71,252.0,0.01209624536481435,,0.24354288295616197,,-1.412462241262238,,,,,,,,3.0777729838902004,,,,,,,,0
2000-01-14,1465.150024,1473.0,1449.680054,1085900000,1085900000.0,19.66,252.0,0.010614763015335704,,0.1702397051564422,,-1.7705478047591507,,,,,,,,2.9785861147190205,,,,,,,,0
2000-01-18,1455.140015,1465.150024,1451.300049,1056700000,1056700000.0,21.5,252.0,-0.0068555164525268,,0.15845916175178407,,-1.8422583734263178,,,,,,,,3.068052935133617,,,,,,,,0
2000-01-19,1455.900024,1461.390015,1448.680054,1087800000,1087800000.0,21.72,252.0,0.0005221563476185409,,0.12810011613975544,,-2.0549431634463273,,,,,,,,3.0782334950657346,,,,,,,,0
2000-01-20,1445.569946,1465.709961,1438.540039,1100700000,1100700000.0,21.75,252.0,-0.007120612485422839,,0.13413089704011033,,-2.008939112249524,,,,,,,,3.079613757534693,,,,,,,,0
2000-01-21,1441.359985,1453.180054,1439.599976,1209800000,1209800000.0,20.82,252.0,-0.0029165681778993147,,0.10509678077142043,,-2.25287363171658,,,,,,,,3.035914063186823,,,,,,,,0
2000-01-24,1401.530029,1454.089966,1395.420044,1115800000,1115800000.0,24.07,252.0,-0.02802258419637127,,0.21199993325360578,,-1.5511693191516565,,,,,,,,3.1809662517949806,,,,,,,,0
2000-01-25,1410.030029,1414.26001,1388.48999,1073700000,1073700000.0,23.02,252.0,0.00604648360431792,,0.21075552033129016,,-1.5570564887004457,,,,,,,,3.1363634032937364,,,,,,,,0
2000-01-26,1404.089966,1412.72998,1400.160034,1117300000,1117300000.0,23.03,252.0,-0.004221619428148138,,0.21284355824569542,,-1.5471978514567852,,,,,,,,3.136797713832594,,,,,,,,0
2000-01-27,1398.560059,1418.859985,1370.98999,1129500000,1129500000.0,23.54,252.0,-0.003946203861979747,,0.20864275253510978,,-1.5671318075820717,,,,,,,,3.1587011018321305,,,,,,,,0
2000-01-28,1360.160034,1398.560059,1356.199951,1095800000,1095800000.0,26.14,252.0,-0.027840813152317345,,0.286650772440161,,-1.2494906249160054,,,,,,,,3.2634667081960758,,,,,,,,0
2000-01-31,1394.459961,1394.47998,1350.140015,993800000,993800000.0,24.95,252.0,0.02490485070605164,,0.2717572042621877,,-1.302846242707793,-1.494704516640201,20.795325999482827,,-0.04824766190632779,,,,3.2168738221975275,,,,,,,,0
2000-02-01,1409.280029,1412.48999,1384.790039,981000000,981000000.0,23.45,252.0,0.010571740659929496,0.258215620217274,0.27864340220650813,-1.3539603058182077,-1.277822442955479,-1.5106174734658164,20.797612352075067,,-0.03813261037082716,-0.03207811576440278,,,3.1548704948922883,-0.011685056524191495,,,,,,,0
2000-02-02,1409.119995,1420.609985,1403.48999,1038600000,1038600000.0,23.12,252.0,-0.00011356372325366237,0.21774589641333908,0.2770280910482242,-1.5244265088308258,-1.283636366210179,-1.5856770761586847,20.798985366985733,,-0.0382418374106378,0.0069074960182096135,,,3.1406980438041767,0.006040164595151415,,,,,,,0
2000-02-03,1424.969971,1425.780029,1398.52002,1146500000,1146500000.0,22.01,252.0,0.011185347989420613,0.2212311500377398,0.2868193739270753,-1.508547196293155,-1.2489026204912235,-1.6009594502650797,20.80180895926519,,-0.027423848985993038,0.016172506335861314,,,3.0914968955383704,-0.0004992117470209306,,,,,,,0
2000-02-04,1424.369995,1435.910034,1420.630005,1045100000,1045100000.0,21.54,252.0,-0.0004211333263324235,0.22121021572980576,0.20786703361825562,-1.5086418271733997,-1.5708566651462352,-1.6057296007709962,20.79962484504516,,-0.027833346982902518,0.014796151141200475,,,3.0699116717282426,-0.0025367995432272125,,,,,,,0
2000-02-07,1424.23999,1427.150024,1413.329956,918100000,918100000.0,22.79,252.0,-9.127609660541935e-05,0.1998286456403008,0.10930893602108466,-1.6102950514713286,-2.2135771303155254,-1.6485175503207303,20.7852965286067,,-0.02792207851064399,-0.012025075013695208,,,3.126321843257593,0.012006922381563083,,,,,,,0
2000-02-08,1441.719971,1441.829956,1424.23999,1047700000,1047700000.0,21.25,252.0,0.012198494043072827,0.20061448029735382,0.11753866569559417,-1.6063702211275355,-2.1409879297797607,-1.654545406510776,20.78449263036231,,-0.0159915726145462,-0.010954405921880017,,,3.056356895370426,0.0049100802950226285,,,,,,,0
2000-02-09,1411.709961,1444.550049,1411.650024,1050500000,1050500000.0,22.9,252.0,-0.021035117221395616,0.20890911271344867,0.1900407488602138,-1.5658559889993424,-1.6605167621312213,-1.639242122473993,20.786207771718008,,-0.036474123553643656,-0.01884094635270195,,,3.131136910560194,0.008797982625279595,,,,,,,0
2000-02-10,1416.829956,1422.099976,1406.430054,1058800000,1058800000.0,23.07,252.0,0.0036202427699052464,0.2087214892363387,0.17455770189255207,-1.566754503087423,-1.7454999221275294,-1.638894536323191,20.79015315998785,,-0.0329796042783943,-0.010824683621786235,,,3.138533072185662,0.00965782993096495,,,,,,,0
2000-02-11,1387.119995,1416.829956,1378.890015,1025700000,1025700000.0,24.42,252.0,-0.021192299035074136,0.21766917406585004,0.23042737471864594,-1.5247789189952174,-1.4678195433351993,-1.6093322922376339,20.789933340192427,,-0.05325736458507546,-0.04411322802167472,,,3.1954024686825586,0.012253770661490693,,,,,,,0
2000-02-14,1389.939941,1394.930054,1380.530029,927300000,927300000.0,24.38,252.0,0.002030886645752794,0.214504442384956,0.23087708840317694,-1.5394248304091478,-1.4658697949024446,-1.6177508595686123,20.78248712160453,,-0.04530536569315968,-0.05269710439125763,,,3.1937631240531252,0.013426284197119089,,,,,,,0
2000-02-15,1402.050049,1407.719971,1376.25,1092100000,1092100000.0,22.92,252.0,0.008674947967946878,0.21533274058934695,0.22270470089794822,-1.5355708165524848,-1.5019085962844456,-1.5940098528207325,20.784153953456833,,-0.03698741267415495,-0.037166639970783955,,,3.132009891846539,0.0061644508302810125,,,,,,,0
2000-02-16,1387.670044,1404.550049,1385.579956,1018800000,1018800000.0,23.51,252.0,-0.010309372899858893,0.2184122747264105,0.18070212301131747,-1.5213708337309593,-1.7109053326354975,-1.5880632564654644,20.78090246975477,,-0.04005333824227142,-0.04799816921826139,,,3.157425862551978,0.007568088248834988,,,,,,,0
2000-02-17,1388.26001,1399.880005,1380.069946,1034800000,1034800000.0,23.17,252.0,0.0004250582668916536,0.21695008391548262,0.1788905053611965,-1.5280879799414353,-1.7209813622000723,-1.5961274847165008,20.777787165620627,,-0.037080682847806634,-0.040452498465946896,,,3.142858338444285,0.006617551089065053,,,,,,,0
2000-02-18,1346.089966,1388.589966,1345.319946,1042300000,1042300000.0,26.0,252.0,-0.030847103117030095,0.24279540803054123,0.23942492898056114,-1.4155361325351887,-1.4295153601994908,-1.5479659565842503,20.769824942726366,,-0.06633049893431764,-0.06838303340507768,,,3.258096538021482,0.008650389839283006,,,,,,,0
2000-02-22,1352.170044,1358.109985,1331.880005,980000000,980000000.0,25.86,252.0,0.004506673388070759,0.2220611979804571,0.24112248149451487,-1.504802268520272,-1.422450252623586,-1.6188632806287038,20.763322738857944,,-0.06211325971845061,-0.03585377582063565,,,3.2526973733437115,0.017562784351484236,,,,,,,0
2000-02-23,1360.689941,1370.109985,1342.439941,993700000,993700000.0,23.89,252.0,0.0062811387673313845,0.222143251474143,0.23735127843189344,-1.504432828300932,-1.438214047726329,-1.6143642112352465,20.759472396715317,,-0.05620372307376453,-0.03561912065762218,,,3.173459961337718,0.007725585824495666,,,,,,,0
2000-02-24,1353.430054,1364.800049,1329.880005,1215000000,1215000000.0,24.38,252.0,-0.005349729804105863,0.22244925974051402,0.2289571704892409,-1.5030562494923596,-1.4742203213511578,-1.5815096172344325,20.76417262787135,,-0.061239296656729225,-0.03674723103357991,,,3.1937631240531252,0.00995476684089732,,,,,,,0
2000-02-25,1333.359985,1362.140015,1329.150024,1065200000,1065200000.0,25.2,252.0,-0.014940089862679251,0.22825393433066815,0.2523130529548622,-1.477296522719499,-1.3770846888237456,-1.6134973817559082,20.761081717630635,,-0.0751602170876774,-0.04774111703427941,,,3.2268439945173775,0.011404141462571037,,,,,,,0
2000-02-28,1348.050049,1360.819946,1325.069946,1026500000,1026500000.0,24.68,252.0,0.010957079137145165,0.20939481138747254,0.14749567058613552,-1.5635337593270353,-1.913956455591443,-1.6272710448451506,20.757739724806488,,-0.06497095405776276,-0.008943224744816902,,,3.205993199037187,0.017064052964004796,,,,,,,0
2000-02-29,1366.420044,1369.630005,1348.050049,1204300000,1204300000.0,23.37,252.0,0.013535073009169452,0.19580427563174616,0.17310266577100608,-1.6306397123940828,-1.7538704167394326,-1.6762094086145902,20.767856720274285,,-0.052229232107932066,-0.02031300244169909,,,3.1514531485507664,0.016276375644327185,,,,,,,0
2000-03-01,1379.189941,1383.459961,1366.420044,1274100000,1274100000.0,21.64,252.0,0.00930211439390316,0.1949907344312548,0.1798254568946263,-1.6348032372844534,-1.7157685824582687,-1.6919491793582033,20.781775282176753,,-0.04337182757940716,-0.021582628707725426,,,3.074543453978281,0.008807573485959862,,,,,,,0
2000-03-02,1381.76001,1386.560059,1370.349976,1198600000,1198600000.0,21.06,252.0,0.0018617285991711086,0.19510227070930664,0.17626529646281136,-1.634231392726251,-1.735765052614175,-1.6925329883082596,20.789292313029758,,-0.04158918667014844,-0.019607336385300655,,,3.0473755067058295,0.006287463964072426,,,,,,,0
2000-03-03,1409.170044,1410.880005,1381.76001,1150300000,1150300000.0,19.21,252.0,0.019642853666568705,0.20334721570875317,0.19815720944798426,-1.592840338835977,-1.6186945762175884,-1.688372088474272,20.78947015736963,,-0.02257714927637633,-0.011149830708152564,,,2.955430976780465,-0.00444768013650218,,,,,,,0
2000-03-06,1391.280029,1409.73999,1384.75,1029000000,1029000000.0,21.5,252.0,-0.012776702246402039,0.20833802197603538,0.20357524683718348,-1.5685934126821202,-1.5917195791174163,-1.6748894020037577,20.78871644200895,,-0.0349859494316459,-0.02350539962822218,,,3.068052935133617,0.002820268599112996,,,,,,,0
2000-03-07,1355.619995,1399.209961,1349.98999,1314100000,1314100000.0,24.31,252.0,-0.025965296993352815,0.227814626813973,0.2572726235589971,-1.4792230210138033,-1.3576189642708787,-1.6033545378016694,20.807092146991266,,-0.05972031859992866,-0.049379420524969575,,,3.1908877883280318,0.0071981058096102155,,,,,,,0
2000-03-08,1366.699951,1373.790039,1346.619995,1203000000,1203000000.0,23.82,252.0,0.008140128567621474,0.22552046578135473,0.25527967765236786,-1.489344366812349,-1.3653955597347893,-1.5896077555897228,20.81420739730428,,-0.03538180766697452,-0.05343778600042093,,,3.170525563927154,0.005879759513760803,,,,,,,0
2000-03-09,1401.689941,1401.819946,1357.880005,1123000000,1123000000.0,22.21,252.0,0.025279570239353788,0.23094673622903425,0.3117715220847041,-1.4655681741428799,-1.1654846604465778,-1.5638867118357584,20.81751181432452,,-0.010685837729421888,-0.007123098539671524,,,3.100542637906336,-0.004007984974843108,,,,,,,0
2000-03-10,1395.069946,1413.459961,1392.069946,1138800000,1138800000.0,21.24,252.0,-0.004734054857058467,0.2312004313524699,0.28086400369978504,-1.46447027647428,-1.2698846993995598,-1.5582268549262912,20.821145440225955,,-0.010005959224038019,-0.015477396166635238,,,3.055886196373738,-0.008339879457568158,,,,,,,0
2000-03-13,1383.619995,1398.390015,1364.839966,1016100000,1016100000.0,22.85,252.0,-0.008241305110622932,0.22056878668320518,0.2721767955792418,-1.5115456749969747,-1.3013034400868728,-1.5658226567913163,20.820710101607265,,-0.018131274581650092,-0.0025264022421840338,,,3.128951117340214,0.003561660341098734,,,,,,,0
2000-03-14,1359.150024,1395.150024,1359.150024,1094000000,1094000000.0,24.41,252.0,-0.017843727395367992,0.2293696653973327,0.23695566421992684,-1.4724203175670987,-1.4398822261489272,-1.5367127211839857,20.828242779049305,,-0.03549608524036996,-0.02240101628330482,,,3.1949928844048685,0.006974366595515646,,,,,,,0
